Codice Letturista,Data Lettura,Ora Lettura,Latitude,Longitude,Accessibilità
MN0409,2024-08-08,14:45:00,45.1479252,10.7605613,
MN0233,2024-07-08,13:08:00,45.136444,10.8770095,
MN0022,2024-09-08,10:40:00,45.1475459,10.7657064,
MN0409,2024-07-08,09:53:00,45.1507725,10.7720416,
MN0409,2024-06-08,11:16:00,45.151806,10.7714472,
MN0409,2024-06-08,14:38:00,45.1515468,10.7712573,
MN0409,2024-07-08,09:19:00,45.1488946,10.7703737,
MN0409,2024-06-08,16:08:00,45.1463556,10.77005,
MN0536,2024-08-08,10:51:00,45.1476804,10.7996331,
MN0409,2024-06-08,08:03:00,45.1510793,10.7726422,
MN0022,2024-06-08,12:16:00,45.1433388,10.7672669,
MN0022,2024-05-08,10:48:00,45.146935,10.7700327,
MN0005,2024-07-08,11:11:00,45.148763,10.7911864,
MN0409,2024-09-08,10:34:00,45.1516229,10.75128,
MN0022,2024-06-08,12:01:00,45.1433197,10.7683956,
MN0022,2024-09-08,09:33:00,45.1510417,10.7676917,
MN0409,2024-08-08,10:45:00,45.1503024,10.7669971,
MN0386,2024-06-08,10:44:00,45.1501604,10.7953283,
MN0409,2024-08-08,08:24:00,45.1497452,10.7660825,
MN0409,2024-08-08,12:44:00,45.1498768,10.7638324,
MN0233,2024-07-08,09:51:00,45.1395613,10.8576089,
MN0233,2024-05-08,12:46:00,45.1537606,10.795225,
MN0005,2024-05-08,14:16:00,45.1493702,10.7878092,
MN0233,2024-06-08,10:27:00,45.1545817,10.7939055,
MN0233,2024-06-08,10:27:00,45.154574,10.7938765,
MN0233,2024-05-08,10:07:00,45.1550164,10.7978818,
MN0409,2024-08-08,12:01:00,45.1496662,10.7635313,
MN0386,2024-08-08,10:29:00,45.1519373,10.7992485,
MN0386,2024-08-08,09:54:00,45.151766,10.8008054,
MN0386,2024-09-08,08:21:00,45.1541805,10.7969243,
MN0536,2024-07-08,12:15:00,45.1446597,10.7990322,
MN0233,2024-06-08,10:36:00,45.1550164,10.7978818,
MN0022,2024-06-08,09:19:00,45.1451503,10.76818,
MN0233,2024-06-08,11:36:00,45.1812146,10.7947565,
MN0233,2024-08-08,12:08:00,45.1500364,10.793082,
MN0409,2024-09-08,12:05:00,45.1476375,10.7573658,
MN0233,2024-05-08,17:33:00,45.1404206,10.8601847,
MN0005,2024-08-08,10:58:00,45.1506494,10.7921528,
MN0409,2024-07-08,11:14:00,45.1500735,10.7721704,
MN0536,2024-07-08,13:01:00,45.1448785,10.8010377,
MN0233,2024-07-08,11:49:00,45.1810905,10.7949361,
MN0233,2024-06-08,09:52:00,45.1552767,10.7947093,
MN0233,2024-06-08,09:53:00,45.1550515,10.7949453,
MN0536,2024-07-08,16:04:00,45.1448679,10.8024737,
MN0005,2024-05-08,11:49:00,45.1473496,10.7950449,
MN0022,2024-08-08,09:32:00,45.1457807,10.760519,
MN0409,2024-07-08,11:28:00,45.1478357,10.7696137,
MN0386,2024-07-08,13:02:00,45.1514174,10.7968769,
MN0536,2024-07-08,15:51:00,45.144887,10.8024487,
MN0536,2024-08-08,08:44:00,45.1469982,10.7979186,
MN0409,2024-08-08,13:28:00,45.1501731,10.7633465,
MN0409,2024-08-08,13:27:00,45.1501627,10.7631606,
MN0409,2024-09-08,12:36:00,45.1444681,10.759948,
MN0233,2024-05-08,10:42:00,45.1540258,10.7958025,
MN0386,2024-08-08,08:32:00,45.1508143,10.7967866,
MN0409,2024-09-08,14:21:00,45.1431439,10.76652,
MN0233,2024-08-08,13:50:00,45.1492945,10.7924614,
MN0233,2024-08-08,13:52:00,45.1492947,10.7923929,
MN0005,2024-08-08,15:07:00,45.1510371,10.7921191,
MN0233,2024-08-08,14:27:00,45.1502596,10.7930676,
MN0536,2024-07-08,10:39:00,45.1438981,10.8006682,
MN0005,2024-07-08,12:57:00,45.1486591,10.7911899,
MN0233,2024-06-08,10:10:00,45.1549278,10.7948063,
MN0233,2024-08-08,10:34:00,45.1491683,10.7934021,
MN0409,2024-05-08,13:26:00,45.126366,10.8660922,
MN0386,2024-07-08,09:19:00,45.1516015,10.7968383,
MN0525,2024-08-08,09:33:00,45.1472648,10.7995638,
MN0525,2024-08-08,14:30:00,45.1453099,10.8006258,
MN0409,2024-09-08,09:05:00,45.1489388,10.7646676,
MN0386,2024-09-08,13:02:00,45.1464664,10.7958298,
MN0536,2024-07-08,08:05:00,45.1444846,10.8009933,
MN0536,2024-08-08,08:15:00,45.147021,10.7976831,
MN0233,2024-05-08,11:04:00,45.1538073,10.7959214,
MN0525,2024-08-08,11:35:00,45.1455465,10.8011637,
MN0409,2024-06-08,11:40:00,45.1505994,10.7709375,
MN0005,2024-08-08,09:51:00,45.1480028,10.7943909,
MN0536,2024-08-08,12:32:00,45.1454,10.7985015,
MN0233,2024-05-08,13:32:00,45.1529219,10.7944663,
MN0022,2024-06-08,08:59:00,45.1449194,10.7688508,
MN0409,2024-06-08,10:43:00,45.1494838,10.772953,
MN0409,2024-06-08,09:45:00,45.1510048,10.7722984,
MN0525,2024-08-08,09:53:00,45.1475053,10.7994972,
MN0022,2024-05-08,08:19:00,45.146748,10.7689018,
MN0409,2024-08-08,12:00:00,45.1496662,10.7635313,
MN0409,2024-09-08,09:41:00,45.1540711,10.7499814,
MN0409,2024-09-08,09:40:00,45.153905,10.7496584,
MN0525,2024-08-08,15:42:00,45.1465143,10.8002243,
MN0233,2024-08-08,14:13:00,45.1498245,10.7928952,
MN0386,2024-09-08,10:41:00,45.157927,10.7952675,
MN0022,2024-05-08,11:21:00,45.1466036,10.7696728,
MN0233,2024-08-08,12:27:00,45.1506571,10.7939848,
MN0409,2024-08-08,13:38:00,45.1502235,10.7631659,
MN0022,2024-06-08,09:01:00,45.1448996,10.7689236,
MN0536,2024-07-08,12:24:00,45.1446398,10.8006369,
MN0005,2024-08-08,12:14:00,45.1511946,10.7923682,
MN0022,2024-07-08,13:56:00,45.1406372,10.7692331,
MN0386,2024-05-08,10:48:00,45.1488366,10.7939177,
MN0386,2024-08-08,09:09:00,45.1507767,10.7976859,
MN0005,2024-08-08,11:41:00,45.1511769,10.7920829,
MN0005,2024-08-08,11:35:00,45.1496593,10.7914365,
MN0233,2024-07-08,10:21:00,45.1477419,10.8606561,
